application_number,child_application_number,child_filing_date,continuation_type
06516689,07015646,1987-02-17,CIP
06516689,07214380,1988-07-01,CIP
06516699,90001970,1990-03-21,REX
06516700,06656265,1984-11-21,DIV
06516709,06760524,1985-07-30,CON
06516710,06819919,1986-01-16,CON
06516714,06894637,1986-08-08,DIV
06516714,06894782,1986-08-08,DIV
06516714,06894791,1986-08-08,DIV
06516714,06894793,1986-08-08,DIV
06516728,06631018,1984-07-17,CON
06516728,06750999,1985-07-02,CON
06516733,07067389,1987-06-26,CON
06516760,06656161,1984-09-27,DIV
06516767,06711996,1985-03-14,CIP
06516767,06586840,1984-03-06,CIP
06516775,06683060,1984-12-18,CON
06516775,06790817,1985-10-24,CON
06516775,07217081,1988-07-07,CON
06516779,06548435,1983-11-03,DIV
06516785,07077027,1987-07-20,CON
06516785,06837563,1986-03-03,CON
06516785,07319898,1989-03-03,CON
06516787,06696632,1985-01-30,CIP
06516792,90002291,1991-02-28,CIP
06516792,06767148,1985-08-19,CIP
06516796,06760483,1985-07-30,CON
06516800,06551512,1983-11-15,CIP
06516803,06689824,1985-01-09,CIP
06516811,06670835,1984-11-13,CIP
06516814,06891069,1986-07-31,CON
06516816,06614358,1984-05-29,DIV
06516822,06594636,1984-03-29,DIV
06516822,06740686,1985-06-03,DIV
06516824,06689035,1985-01-07,CON
06516824,06833413,1986-02-20,CON
06516831,07049382,1987-05-13,CIP
06516831,06607067,1984-05-04,CIP
06516831,06789265,1985-10-18,CIP
06516832,06630145,1984-07-12,DIV
06516832,06630135,1984-07-12,DIV
06516832,06811245,1985-12-19,DIV
06516832,06765740,1985-08-15,DIV
06516832,06630133,1984-07-12,DIV
06516832,06630134,1984-07-12,DIV
06516841,90010759,2010-01-22,DIV
06516841,08194647,1994-02-10,DIV
06516841,08015886,1993-02-10,DIV
06516841,08848283,1997-04-29,DIV
06516841,08485183,1995-06-07,DIV
06516845,06798720,1985-11-18,CON
06516847,06625411,1984-07-02,CIP
06516849,06723356,1985-04-15,CIP
06516855,06530695,1983-09-09,CIP
06516859,06758850,1985-07-26,CIP
06516859,06583818,1984-02-27,CIP
06516859,07581545,1990-09-12,CIP
06516859,06899207,1986-08-22,CIP
06516861,06881501,1986-06-12,CON
06516861,06539474,1983-10-06,CIP
06516861,06684988,1984-12-24,CIP
06516861,06696826,1985-01-30,CON
06516863,06736782,1985-05-22,DIV
06516863,06859229,1986-05-05,DIV
06516865,06599208,1984-04-12,CON
06516866,07396988,1989-08-22,CON
06516866,06695740,1985-01-28,CON
06516888,06762817,1985-08-05,CON
06516888,06818827,1986-01-14,CON
06516901,07174126,1988-03-28,DIV
06516901,06776228,1985-09-16,DIV
06516902,06776790,1985-09-16,DIV
06516905,06672580,1984-11-16,CIP
06516905,06586864,1984-03-06,CIP
06516914,06781277,1985-09-27,CON
06516917,06863586,1986-05-15,CIP
06516936,06694710,1985-01-25,CIP
06516948,06627850,1984-07-05,CIP
06516954,06664487,1984-10-24,CIP
06516956,06699079,1985-02-07,CIP
06516956,06825319,1986-02-03,CIP
06516966,06666137,1984-10-31,CON
06516987,06635049,1984-07-27,CIP
06517005,90000954,1986-02-07,REX
06517012,06838320,1986-03-10,CIP
06517015,06737541,1985-05-24,CIP
06517027,06763514,1985-08-08,CIP
06517029,06681078,1984-12-13,CON
06517029,06790639,1985-10-23,CON
06517030,06696764,1985-01-31,CIP
06517032,06778178,1985-09-20,CON
06517033,06669425,1984-11-08,CON
06517055,06902091,1986-08-27,CON
06517060,07001358,1987-01-08,CON
06517060,07243156,1988-09-09,CON
06517060,06833843,1986-02-26,CON
06517061,06901996,1986-08-28,CON
06517068,06733627,1985-05-13,DIV
06517079,06695057,1985-01-25,DIV
06517081,06770895,1985-08-29,CON
06517096,06691981,1985-01-16,DIV
06517099,06729071,1985-04-29,CON
06517108,06642007,1981-08-20,DIV
06517113,06752835,1985-07-18,DIV
06517115,06683321,1984-12-17,CON
06517117,06578443,1984-02-09,CIP
06517119,06803993,1985-11-07,DIV
06517124,06648765,1984-09-10,CIP
06517130,07083135,1987-08-10,CIP
06517130,06664672,1984-10-25,CIP
06517131,06815251,1985-12-31,CIP
06517133,07178625,1988-04-07,CIP
06517133,07627897,1990-12-13,CIP
06517133,06629911,1984-07-11,DIV
06517133,07202117,1988-06-03,DIV
06517133,07144467,1988-01-15,DIV
06517133,07202117,1988-06-03,CIP
06517133,06761637,1985-08-01,DIV
06517133,06723677,1985-04-16,CIP
06517133,06910355,1986-09-22,DIV
06517133,08287643,1994-08-09,CON
06517133,08467622,1995-06-06,CIP
06517133,06629924,1984-07-11,DIV
06517133,08466218,1995-06-06,CIP
06517133,07940767,1992-09-04,CIP
06517133,08467590,1995-06-06,CIP
06517136,06645936,1984-08-30,CIP
06517136,07054966,1987-05-28,CIP
06517137,06620250,1984-06-13,DIV
06517141,06546128,1983-10-27,CIP
06517142,06700848,1985-02-11,REI
06517144,06894136,1986-08-07,DIV
06517150,06724445,1985-04-17,CIP
06517150,07143320,1988-01-11,CIP
06517150,07096298,1987-09-09,CIP
06517150,06778179,1985-09-20,CIP
06517150,06580760,1984-02-17,CIP
06517150,90001840,1989-09-11,CIP
06517150,06904802,1986-09-08,CIP
06517150,07057688,1987-06-02,CIP
06517159,06863658,1986-05-15,CON
06517159,06689739,1985-01-08,CON
06517160,06705419,1985-02-27,CON
06517162,06715545,1985-03-25,CON
06517180,06871726,1986-06-06,DIV
06517189,07315363,1989-02-24,DIV
06517208,06724808,1985-04-19,CON
06517209,06803778,1985-12-02,CON
06517211,06763316,1985-08-06,CON
06517220,06684964,1984-12-20,CON
06517220,06648071,1984-09-07,CIP
06517221,06720902,1985-04-08,DIV
06517246,06896328,1986-08-15,CON
06517265,06694669,1985-01-24,CIP
06517265,06943887,1986-12-19,CON
06517269,06740824,1985-06-03,CIP
06517278,06672349,1984-11-16,CIP
06517291,07253911,1988-10-06,CON
06517293,06815199,1985-12-27,CON
06517296,06619967,1984-06-12,CIP
06517297,06681404,1984-12-13,DIV
06517298,06651510,1984-09-11,DIV
06517306,06657659,1984-10-04,CIP
06517306,06903870,1986-09-02,CIP
06517314,06875161,1986-06-17,CON
06517322,06678499,1984-12-05,CIP
06517324,06923421,1986-10-27,CIP
06517329,06771297,1985-08-30,CON
06517338,06748236,1985-06-24,CIP
06517339,06748236,1985-06-24,CIP
06517339,06718023,1985-03-29,CIP
06517339,07011447,1987-02-05,CIP
06517340,06748236,1985-06-24,CIP
06517340,06718023,1985-03-29,CIP
06517340,07011447,1987-02-05,CIP
06517342,06753794,1985-07-08,CON
06517346,06778786,1985-09-23,DIV
06517356,06675458,1984-11-27,CON
06517362,06748236,1985-06-24,CIP
06517366,06829911,1986-02-18,CON
06517387,06649959,1984-09-11,CON
06517387,07474226,1990-02-02,CON
06517388,06585035,1984-03-06,CON
06517393,06849070,1986-04-07,DIV
06517395,06671023,1984-11-14,CON
06517395,06759930,1985-07-29,CON
06517396,06910305,1986-09-22,CON
06517397,06867617,1986-05-27,CIP
06517397,06747929,1985-06-24,CIP
06517405,06830754,1986-02-19,CON
06517405,06741107,1985-06-04,CON
06517405,07240806,1988-09-07,CON
06517405,09704529,2000-11-03,CON
06517405,07857648,1992-03-25,CON
06517405,07783920,1991-10-29,CON
06517412,06837663,1986-03-04,CON
06517414,06869859,1986-05-28,CON
06517414,06676216,1984-11-29,CON
06517414,06767258,1985-08-21,CON
06517417,06936282,1986-12-01,CIP
06517421,06591577,1984-03-20,CIP
06517436,06772694,1985-09-05,CON
06517442,06695237,1985-01-28,DIV
06517447,06902110,1986-08-29,CON
06517448,06652018,1984-09-19,DIV
06517449,06681081,1984-12-13,CON
06517453,06776976,1985-09-17,CIP
06517466,06736415,1985-05-20,CON
06517475,06608299,1984-05-08,DIV
06517475,06612199,1984-05-21,DIV
06517478,07058056,1987-06-04,CIP
06517479,06630996,1984-07-13,CON
06517484,90002646,1992-02-14,REX
06517491,06606483,1984-05-03,DIV
06517499,06675669,1984-11-28,CIP
06517508,07083861,1987-08-05,DIV
06517508,07316477,1989-02-27,DIV
06517508,06812274,1985-12-23,DIV
06517509,06826832,1986-02-06,CON
06517511,06849527,1986-04-08,REI
06517513,06793011,1985-10-30,CON
06517517,06773524,1985-09-06,CON
06517520,06910350,1986-09-22,CON
06517521,06945161,1986-12-22,CON
06517521,06737568,1985-05-23,CON
06517536,06731616,1985-05-07,CON
06517548,07209386,1988-06-21,CIP
06517548,06929880,1986-11-13,CIP
06517553,06666410,1984-10-30,CIP
06517560,06578927,1984-02-10,CIP
06517563,06682880,1984-12-18,CON
06517565,08487479,1995-06-07,CON
06517565,07877371,1992-04-29,CON
06517565,07623084,1990-12-06,CON
06517565,07498490,1990-03-26,CON
06517570,06622672,1984-06-20,CIP
