application_number,child_application_number,child_filing_date,continuation_type
09569278,12178003,2008-07-23,CON
09569283,09940153,2001-08-27,CIP
09569284,11226788,2005-09-14,CON
09569284,10654823,2003-09-04,CON
09569291,10008193,2001-11-06,CON
09569295,11380148,2006-04-25,DIV
09569295,12816088,2010-06-15,DIV
09569298,10459621,2003-06-12,CON
09569299,09902565,2001-07-12,DIV
09569300,10127810,2002-04-23,DIV
09569300,10690624,2003-10-23,DIV
09569306,10989639,2004-11-17,CIP
09569306,09902483,2001-07-11,CIP
09569314,09893802,2001-06-28,DIV
09569320,10841707,2004-05-06,DIV
09569323,10076981,2002-02-15,CON
09569324,10984598,2004-11-08,DIV
09569325,10346259,2003-01-15,DIV
09569327,10763398,2004-01-23,CON
09569332,10122116,2002-04-12,DIV
09569332,12882047,2010-09-14,CIP
09569332,11135608,2005-05-23,CIP
09569332,10818057,2004-04-05,CIP
09569332,10121080,2002-04-12,DIV
09569332,10317027,2002-12-11,CIP
09569332,09836850,2001-04-16,CIP
09569332,11226856,2005-09-14,CIP
09569332,10407970,2003-04-04,CON
09569332,10121197,2002-04-12,DIV
09569332,10678698,2003-10-03,DIV
09569344,11523884,2006-09-20,CIP
09569344,09997931,2001-11-30,CIP
09569349,11705352,2007-02-12,CON
09569352,PCT/US01/03958,2001-02-08,CON
09569361,11509360,2006-08-23,CON
09569361,10879640,2004-06-28,CON
09569363,PCT/US01/13588,2001-04-26,CON
09569368,09976879,2001-10-11,DIV
09569371,13236527,2011-09-19,REI
09569371,11971778,2008-01-09,REI
09569378,10209367,2002-07-30,CIP
09569379,09882477,2001-06-13,CON
09569380,10294240,2002-11-13,DIV
09569380,10994023,2004-11-19,CIP
09569380,PCT/US01/09372,2001-03-23,CON
09569380,09815933,2001-03-23,CIP
09569383,10303150,2002-11-22,CON
09569383,10323065,2002-12-18,CON
09569383,10414867,2003-04-16,CON
09569383,09865177,2001-05-24,CON
09569384,10264634,2002-10-04,CIP
09569384,09972218,2001-10-04,CIP
09569384,11957891,2007-12-17,CON
09569384,12695485,2010-01-28,CON
09569394,11770946,2007-06-29,CON
09569394,10316423,2002-12-11,CON
09569402,11286468,2006-01-23,CON
09569404,10987481,2004-11-12,CON
09569422,09990733,2001-11-21,DIV
09569436,10313179,2002-12-06,CON
09569436,10866352,2004-06-11,CON
09569438,10208218,2002-07-30,DIV
