application_number,child_application_number,child_filing_date,continuation_type
10141618,11874867,2007-10-18,DIV
10141620,11175003,2005-07-05,CON
10141620,PCT/US02/26339,2002-08-19,CON
10141623,10813548,2004-03-30,CIP
10141623,10984181,2004-11-09,CIP
10141623,10369215,2003-02-19,CIP
10141626,PCT/US02/14484,2002-05-07,CON
10141626,11510258,2006-08-25,DIV
10141626,11340262,2006-01-25,DIV
10141627,11415382,2006-05-01,CON
10141628,PCT/US02/37532,2002-11-21,CON
10141630,PCT/US02/14847,2002-05-08,CON
10141632,PCT/US03/14077,2003-05-06,CON
10141632,10353754,2003-01-28,CIP
10141634,10798773,2004-03-11,DIV
10141634,11165424,2005-06-23,DIV
10141643,11449058,2006-06-07,DIV
10141644,10436349,2003-05-12,CON
10141644,PCT/US03/14233,2003-05-05,CON
10141645,10982145,2004-11-05,CIP
10141645,PCT/US03/14106,2003-05-06,CON
10141645,11968178,2008-01-01,CIP
10141647,10861980,2004-06-07,CIP
10141647,10277969,2002-10-23,CIP
10141647,11184982,2005-07-20,CIP
10141647,13572123,2012-08-10,CIP
10141647,11134445,2005-05-23,CIP
10141647,11287460,2005-11-28,CIP
10141647,11595990,2006-11-13,CON
10141647,PCT/US03/14049,2003-05-07,CON
10141647,PCT/US02/23254,2002-07-23,CON
10141647,13169667,2011-06-27,CIP
10141647,10200148,2002-07-23,CIP
10141647,11078526,2005-03-14,CIP
10141647,10792893,2004-03-05,CIP
10141647,10383614,2003-03-10,CIP
10141647,14051630,2013-10-11,CIP
10141647,11293391,2005-12-05,CIP
10141647,13007137,2011-01-14,CON
10141652,11006348,2004-12-06,CON
10141652,12360006,2009-01-26,CON
10141652,11694119,2007-03-30,CON
10141652,11694049,2007-03-30,CON
10141652,11694492,2007-03-30,CON
10141652,11005935,2004-12-06,CON
10141652,11006409,2004-12-06,CON
10141652,11006114,2004-12-06,CON
10141652,11006217,2004-12-06,CON
10141652,12100305,2008-04-09,CON
10141652,11006213,2004-12-06,CON
10141652,11694016,2007-03-30,CON
10141652,11005936,2004-12-06,CON
